"","date","hits","keyword","geo","time","gprop","category"
"72",2021-04-11,"66","Kolibri","world","2019-12-01 2021-08-15","web",0
"73",2021-04-18,"77","Kolibri","world","2019-12-01 2021-08-15","web",0
"74",2021-04-25,"60","Kolibri","world","2019-12-01 2021-08-15","web",0
"75",2021-05-02,"63","Kolibri","world","2019-12-01 2021-08-15","web",0
"76",2021-05-09,"53","Kolibri","world","2019-12-01 2021-08-15","web",0
"77",2021-05-16,"66","Kolibri","world","2019-12-01 2021-08-15","web",0
"78",2021-05-23,"76","Kolibri","world","2019-12-01 2021-08-15","web",0
"79",2021-05-30,"66","Kolibri","world","2019-12-01 2021-08-15","web",0
"80",2021-06-06,"70","Kolibri","world","2019-12-01 2021-08-15","web",0
"81",2021-06-13,"76","Kolibri","world","2019-12-01 2021-08-15","web",0
"82",2021-06-20,"88","Kolibri","world","2019-12-01 2021-08-15","web",0
"83",2021-06-27,"73","Kolibri","world","2019-12-01 2021-08-15","web",0
"84",2021-07-04,"64","Kolibri","world","2019-12-01 2021-08-15","web",0
"85",2021-07-11,"83","Kolibri","world","2019-12-01 2021-08-15","web",0
"86",2021-07-18,"75","Kolibri","world","2019-12-01 2021-08-15","web",0
"87",2021-07-25,"66","Kolibri","world","2019-12-01 2021-08-15","web",0
"88",2021-08-01,"77","Kolibri","world","2019-12-01 2021-08-15","web",0
"89",2021-08-08,"80","Kolibri","world","2019-12-01 2021-08-15","web",0
"90",2019-12-01,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"91",2019-12-08,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"92",2019-12-15,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"93",2019-12-22,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"94",2019-12-29,"4","Rumie","world","2019-12-01 2021-08-15","web",0
"95",2020-01-05,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"96",2020-01-12,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"97",2020-01-19,"3","Rumie","world","2019-12-01 2021-08-15","web",0
"98",2020-01-26,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"99",2020-02-02,"<1","Rumie","world","2019-12-01 2021-08-15","web",0
"100",2020-02-09,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"101",2020-02-16,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"102",2020-02-23,"0","Rumie","world","2019-12-01 2021-08-15","web",0
"103",2020-03-01,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"104",2020-03-08,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"105",2020-03-15,"4","Rumie","world","2019-12-01 2021-08-15","web",0
"106",2020-03-22,"3","Rumie","world","2019-12-01 2021-08-15","web",0
"107",2020-03-29,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"108",2020-04-05,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"109",2020-04-12,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"110",2020-04-19,"3","Rumie","world","2019-12-01 2021-08-15","web",0
"111",2020-04-26,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"112",2020-05-03,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"113",2020-05-10,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"114",2020-05-17,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"115",2020-05-24,"3","Rumie","world","2019-12-01 2021-08-15","web",0
"116",2020-05-31,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"117",2020-06-07,"3","Rumie","world","2019-12-01 2021-08-15","web",0
"118",2020-06-14,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"119",2020-06-21,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"120",2020-06-28,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"121",2020-07-05,"4","Rumie","world","2019-12-01 2021-08-15","web",0
"122",2020-07-12,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"123",2020-07-19,"3","Rumie","world","2019-12-01 2021-08-15","web",0
"124",2020-07-26,"3","Rumie","world","2019-12-01 2021-08-15","web",0
"125",2020-08-02,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"126",2020-08-09,"<1","Rumie","world","2019-12-01 2021-08-15","web",0
"127",2020-08-16,"3","Rumie","world","2019-12-01 2021-08-15","web",0
"128",2020-08-23,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"129",2020-08-30,"<1","Rumie","world","2019-12-01 2021-08-15","web",0
"130",2020-09-06,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"131",2020-09-13,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"132",2020-09-20,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"133",2020-09-27,"3","Rumie","world","2019-12-01 2021-08-15","web",0
"134",2020-10-04,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"135",2020-10-11,"4","Rumie","world","2019-12-01 2021-08-15","web",0
"136",2020-10-18,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"137",2020-10-25,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"138",2020-11-01,"2","Rumie","world","2019-12-01 2021-08-15","web",0
"139",2020-11-08,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"140",2020-11-15,"3","Rumie","world","2019-12-01 2021-08-15","web",0
"141",2020-11-22,"0","Rumie","world","2019-12-01 2021-08-15","web",0
"142",2020-11-29,"1","Rumie","world","2019-12-01 2021-08-15","web",0
"143",2020-12-06,"1","Rumie","world","2019-12-01 2021-08-15","web",0
