"","date","hits","keyword","geo","time","gprop","category"
"1",2019-12-01,2,"Zoom","world","2019-12-01 2021-08-15","web",74
"2",2019-12-08,2,"Zoom","world","2019-12-01 2021-08-15","web",74
"3",2019-12-15,2,"Zoom","world","2019-12-01 2021-08-15","web",74
"4",2019-12-22,1,"Zoom","world","2019-12-01 2021-08-15","web",74
"5",2019-12-29,2,"Zoom","world","2019-12-01 2021-08-15","web",74
"6",2020-01-05,2,"Zoom","world","2019-12-01 2021-08-15","web",74
"7",2020-01-12,3,"Zoom","world","2019-12-01 2021-08-15","web",74
"8",2020-01-19,2,"Zoom","world","2019-12-01 2021-08-15","web",74
"9",2020-01-26,2,"Zoom","world","2019-12-01 2021-08-15","web",74
"10",2020-02-02,3,"Zoom","world","2019-12-01 2021-08-15","web",74
"11",2020-02-09,3,"Zoom","world","2019-12-01 2021-08-15","web",74
"12",2020-02-16,4,"Zoom","world","2019-12-01 2021-08-15","web",74
"13",2020-02-23,3,"Zoom","world","2019-12-01 2021-08-15","web",74
"14",2020-03-01,5,"Zoom","world","2019-12-01 2021-08-15","web",74
"15",2020-03-08,17,"Zoom","world","2019-12-01 2021-08-15","web",74
"16",2020-03-15,52,"Zoom","world","2019-12-01 2021-08-15","web",74
"17",2020-03-22,75,"Zoom","world","2019-12-01 2021-08-15","web",74
"18",2020-03-29,85,"Zoom","world","2019-12-01 2021-08-15","web",74
"19",2020-04-05,67,"Zoom","world","2019-12-01 2021-08-15","web",74
"20",2020-04-12,64,"Zoom","world","2019-12-01 2021-08-15","web",74
"21",2020-04-19,67,"Zoom","world","2019-12-01 2021-08-15","web",74
"22",2020-04-26,53,"Zoom","world","2019-12-01 2021-08-15","web",74
"23",2020-05-03,49,"Zoom","world","2019-12-01 2021-08-15","web",74
"24",2020-05-10,45,"Zoom","world","2019-12-01 2021-08-15","web",74
"25",2020-05-17,40,"Zoom","world","2019-12-01 2021-08-15","web",74
"26",2020-05-24,35,"Zoom","world","2019-12-01 2021-08-15","web",74
"27",2020-05-31,34,"Zoom","world","2019-12-01 2021-08-15","web",74
"28",2020-06-07,29,"Zoom","world","2019-12-01 2021-08-15","web",74
"29",2020-06-14,27,"Zoom","world","2019-12-01 2021-08-15","web",74
"30",2020-06-21,24,"Zoom","world","2019-12-01 2021-08-15","web",74
"31",2020-06-28,23,"Zoom","world","2019-12-01 2021-08-15","web",74
"32",2020-07-05,25,"Zoom","world","2019-12-01 2021-08-15","web",74
"33",2020-07-12,25,"Zoom","world","2019-12-01 2021-08-15","web",74
"34",2020-07-19,24,"Zoom","world","2019-12-01 2021-08-15","web",74
"35",2020-07-26,22,"Zoom","world","2019-12-01 2021-08-15","web",74
"36",2020-08-02,25,"Zoom","world","2019-12-01 2021-08-15","web",74
"37",2020-08-09,38,"Zoom","world","2019-12-01 2021-08-15","web",74
"38",2020-08-16,52,"Zoom","world","2019-12-01 2021-08-15","web",74
"39",2020-08-23,62,"Zoom","world","2019-12-01 2021-08-15","web",74
"40",2020-08-30,64,"Zoom","world","2019-12-01 2021-08-15","web",74
"41",2020-09-06,57,"Zoom","world","2019-12-01 2021-08-15","web",74
"42",2020-09-13,56,"Zoom","world","2019-12-01 2021-08-15","web",74
"43",2020-09-20,50,"Zoom","world","2019-12-01 2021-08-15","web",74
"44",2020-09-27,44,"Zoom","world","2019-12-01 2021-08-15","web",74
"45",2020-10-04,40,"Zoom","world","2019-12-01 2021-08-15","web",74
"46",2020-10-11,33,"Zoom","world","2019-12-01 2021-08-15","web",74
