"","date","hits","keyword","geo","time","gprop","category"
"82",2019-06-23,"28","Online Learning","world","2017-12-01 2021-08-15","web",0
"83",2019-06-30,"22","Online Learning","world","2017-12-01 2021-08-15","web",0
"84",2019-07-07,"26","Online Learning","world","2017-12-01 2021-08-15","web",0
"85",2019-07-14,"24","Online Learning","world","2017-12-01 2021-08-15","web",0
"86",2019-07-21,"24","Online Learning","world","2017-12-01 2021-08-15","web",0
"87",2019-07-28,"25","Online Learning","world","2017-12-01 2021-08-15","web",0
"88",2019-08-04,"21","Online Learning","world","2017-12-01 2021-08-15","web",0
"89",2019-08-11,"25","Online Learning","world","2017-12-01 2021-08-15","web",0
"90",2019-08-18,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"91",2019-08-25,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"92",2019-09-01,"33","Online Learning","world","2017-12-01 2021-08-15","web",0
"93",2019-09-08,"34","Online Learning","world","2017-12-01 2021-08-15","web",0
"94",2019-09-15,"33","Online Learning","world","2017-12-01 2021-08-15","web",0
"95",2019-09-22,"36","Online Learning","world","2017-12-01 2021-08-15","web",0
"96",2019-09-29,"30","Online Learning","world","2017-12-01 2021-08-15","web",0
"97",2019-10-06,"31","Online Learning","world","2017-12-01 2021-08-15","web",0
"98",2019-10-13,"30","Online Learning","world","2017-12-01 2021-08-15","web",0
"99",2019-10-20,"34","Online Learning","world","2017-12-01 2021-08-15","web",0
"100",2019-10-27,"26","Online Learning","world","2017-12-01 2021-08-15","web",0
"101",2019-11-03,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"102",2019-11-10,"31","Online Learning","world","2017-12-01 2021-08-15","web",0
"103",2019-11-17,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"104",2019-11-24,"26","Online Learning","world","2017-12-01 2021-08-15","web",0
"105",2019-12-01,"30","Online Learning","world","2017-12-01 2021-08-15","web",0
"106",2019-12-08,"30","Online Learning","world","2017-12-01 2021-08-15","web",0
"107",2019-12-15,"30","Online Learning","world","2017-12-01 2021-08-15","web",0
"108",2019-12-22,"21","Online Learning","world","2017-12-01 2021-08-15","web",0
"109",2019-12-29,"21","Online Learning","world","2017-12-01 2021-08-15","web",0
"110",2020-01-05,"31","Online Learning","world","2017-12-01 2021-08-15","web",0
"111",2020-01-12,"32","Online Learning","world","2017-12-01 2021-08-15","web",0
"112",2020-01-19,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"113",2020-01-26,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"114",2020-02-02,"29","Online Learning","world","2017-12-01 2021-08-15","web",0
"115",2020-02-09,"35","Online Learning","world","2017-12-01 2021-08-15","web",0
"116",2020-02-16,"34","Online Learning","world","2017-12-01 2021-08-15","web",0
"117",2020-02-23,"31","Online Learning","world","2017-12-01 2021-08-15","web",0
"118",2020-03-01,"33","Online Learning","world","2017-12-01 2021-08-15","web",0
"119",2020-03-08,"46","Online Learning","world","2017-12-01 2021-08-15","web",0
"120",2020-03-15,"97","Online Learning","world","2017-12-01 2021-08-15","web",0
"121",2020-03-22,"100","Online Learning","world","2017-12-01 2021-08-15","web",0
"122",2020-03-29,"99","Online Learning","world","2017-12-01 2021-08-15","web",0
"123",2020-04-05,"85","Online Learning","world","2017-12-01 2021-08-15","web",0
"124",2020-04-12,"88","Online Learning","world","2017-12-01 2021-08-15","web",0
"125",2020-04-19,"91","Online Learning","world","2017-12-01 2021-08-15","web",0
"126",2020-04-26,"84","Online Learning","world","2017-12-01 2021-08-15","web",0
"127",2020-05-03,"72","Online Learning","world","2017-12-01 2021-08-15","web",0
"128",2020-05-10,"75","Online Learning","world","2017-12-01 2021-08-15","web",0
"129",2020-05-17,"70","Online Learning","world","2017-12-01 2021-08-15","web",0
"130",2020-05-24,"64","Online Learning","world","2017-12-01 2021-08-15","web",0
"131",2020-05-31,"64","Online Learning","world","2017-12-01 2021-08-15","web",0
"132",2020-06-07,"67","Online Learning","world","2017-12-01 2021-08-15","web",0
"133",2020-06-14,"56","Online Learning","world","2017-12-01 2021-08-15","web",0
